country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","20-04-2026 21:00:00",19.8389439,75.244448,CO,2,142,44
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","20-04-2026 21:00:00",19.863756,75.321188,PM2.5,35,69,52
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","20-04-2026 21:00:00",19.863756,75.321188,NH3,1,5,2
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","20-04-2026 21:00:00",19.16485,73.23409,NO2,15,38,26
India,Maharashtra,Beed,"Bir, Beed - MPCB","20-04-2026 21:00:00",18.988474,75.753873,NO2,NA,NA,NA
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","20-04-2026 21:00:00",19.0243902,73.0406721,PM2.5,57,100,80
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","20-04-2026 21:00:00",19.0243902,73.0406721,PM10,83,131,111
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","20-04-2026 21:00:00",19.0243902,73.0406721,NH3,1,8,5
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","20-04-2026 21:00:00",19.309073,73.057223,NH3,4,8,7
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","20-04-2026 21:00:00",19.962900,79.298714,PM10,90,198,130
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","20-04-2026 21:00:00",19.962900,79.298714,CO,21,34,31
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","20-04-2026 21:00:00",19.9775302,79.2337086,PM10,79,154,105
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","20-04-2026 21:00:00",19.9775302,79.2337086,SO2,5,59,18
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","20-04-2026 21:00:00",20.918946,74.776388,PM2.5,66,98,79
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","20-04-2026 21:00:00",20.918946,74.776388,NH3,1,1,1
India,Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB","20-04-2026 21:00:00","19.2268427 ","73.0788456 ",PM2.5,10,35,24
India,Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB","20-04-2026 21:00:00","19.2268427 ","73.0788456 ",PM10,34,77,52
India,Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB","20-04-2026 21:00:00","19.2268427 ","73.0788456 ",NO2,14,57,26
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","20-04-2026 21:00:00",18.96702,72.84214,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","20-04-2026 21:00:00",18.96702,72.84214,OZONE,35,81,50
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","20-04-2026 21:00:00",19.1878657,72.8304069,CO,6,26,11
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","20-04-2026 21:00:00",19.1750,72.9419,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","20-04-2026 21:00:00",19.1750,72.9419,PM10,NA,NA,NA
